#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
254 294.233333 2.308333 0.390750 0.006100 100068.925000 0.000000 
255 294.250000 2.208333 0.391833 0.006100 100015.991667 0.000000 
256 294.158333 2.016667 0.420417 0.006500 99960.441667 0.000000 
257 293.966667 1.908333 0.476167 0.007300 99932.883333 0.000000 
258 293.766667 1.991667 0.490167 0.007400 99908.616667 0.000000 
259 293.566667 2.091667 0.508417 0.007600 99951.150000 0.000000 
260 293.458333 2.191667 0.528333 0.007900 99948.600000 0.000000 
261 293.450000 2.200000 0.546500 0.008100 99918.483333 0.000000 
262 293.358333 2.016667 0.559000 0.008300 99912.133333 0.000000 
263 293.166667 1.816667 0.570083 0.008300 99901.991667 0.000000 
264 291.041667 1.800000 0.639750 0.008200 99906.875000 0.000000 
265 290.850000 1.250000 0.648750 0.008200 99890.808333 0.000000 
266 290.666667 1.016667 0.660000 0.008300 99877.566667 0.000000 
267 290.558333 0.908333 0.668333 0.008300 99907.758333 0.000000 
268 290.550000 0.900000 0.682750 0.008500 99933.516667 0.000000 
269 290.641667 0.716667 0.691333 0.008600 99941.466667 0.000000 
270 291.475000 0.700000 0.611333 0.008100 99958.408333 0.000000 
271 292.558333 1.158333 0.558167 0.007900 99936.708333 0.000000 
272 293.658333 1.475000 0.522833 0.007900 99931.666667 0.000000 
273 294.575000 1.775000 0.487000 0.007800 99986.491667 0.000000 
274 295.383333 2.075000 0.449167 0.007500 99964.275000 0.000000 
275 296.091667 2.466667 0.414833 0.007300 99946.583333 0.000000 
276 296.333333 2.133333 0.367083 0.006500 99913.483333 0.000000 
277 296.991667 2.100000 0.324500 0.006000 99880.075000 0.000000 
278 297.416667 2.100000 0.294417 0.005600 99842.283333 0.000000 
279 297.725000 1.733333 0.279167 0.005400 99791.708333 0.000000 
280 297.750000 1.241667 0.278917 0.005400 99748.625000 0.000000 
281 297.566667 1.108333 0.276250 0.005300 99698.441667 0.000000 
282 297.275000 1.283333 0.291583 0.005500 99693.833333 0.000000 
283 296.975000 1.483333 0.307667 0.005700 99703.791667 0.000000 
284 296.583333 1.775000 0.331000 0.006000 99689.758333 0.000000 
285 296.091667 2.075000 0.369667 0.006500 99651.366667 0.000000 
286 295.408333 2.283333 0.415167 0.007000 99631.775000 0.000000 
287 294.616667 2.483333 0.452000 0.007300 99631.675000 0.000000 
288 292.441667 2.591667 0.534750 0.007500 99617.775000 0.000000 
289 291.516667 2.600000 0.561250 0.007400 99596.883333 0.000000 
290 290.716667 2.600000 0.586833 0.007400 99583.183333 0.000000 
291 290.191667 2.600000 0.624750 0.007600 99583.750000 0.000000 
292 289.966667 2.691667 0.671083 0.008100 99571.525000 0.000000 
293 290.041667 2.241667 0.654833 0.007900 99573.425000 0.000000 
294 290.966667 1.925000 0.607167 0.007800 99554.358333 0.000000 
295 291.966667 1.716667 0.563583 0.007700 99557.183333 0.000000 
296 292.875000 1.791667 0.524250 0.007600 99542.383333 0.000000 
297 293.775000 1.983333 0.485250 0.007400 99636.150000 0.000000 
298 294.491667 2.275000 0.449000 0.007200 99599.425000 0.000000 
299 295.100000 2.208333 0.415750 0.006900 99566.975000 0.000000 
300 295.058333 2.658333 0.405667 0.006700 99520.950000 0.000000 
301 295.233333 2.516667 0.392167 0.006500 99464.841667 0.000000 
302 295.708333 2.316667 0.374500 0.006400 99408.125000 0.000000 
303 295.933333 2.025000 0.368417 0.006400 99341.525000 0.000000 
304 295.766667 1.816667 0.380833 0.006600 99288.325000 0.000000 
305 295.291667 2.166667 0.404000 0.006800 99260.716667 0.000000 
306 294.333333 2.566667 0.445417 0.007000 99244.850000 0.000000 
307 293.150000 2.600000 0.499417 0.007300 99299.516667 0.000000 
308 292.041667 2.508333 0.554417 0.007600 99322.841667 0.000000 
309 291.308333 2.591667 0.602083 0.007900 99288.475000 0.000000 
310 290.883333 2.783333 0.637167 0.008100 99329.291667 0.000000 
311 290.391667 2.708333 0.670250 0.008300 99320.466667 0.000000 
312 289.341667 2.516667 0.719750 0.008300 99336.350000 0.000000 
313 288.608333 2.408333 0.764333 0.008400 99349.633333 0.000000 
314 288.000000 2.308333 0.795500 0.008500 99357.483333 0.000000 
