#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Change in water volume of soil 
# 0:time [hr] 1:dVRoofSoilVeg_dt [mm s^-1] 2:dVGroundSoilImp_dt [mm s^-1] 3:dVGroundSoilBare_dt [mm s^-1] 4:dVGroundSoilVeg_dt [mm s^-1] 5:dVGroundSoilTot_dt 
295 -0.000000 -0.000025 nan -0.000051 -0.000038 
296 -0.000000 -0.000026 nan -0.000076 -0.000051 
297 -0.000000 -0.000027 nan -0.000088 -0.000057 
298 -0.000000 -0.000028 nan -0.000109 -0.000069 
299 -0.000000 -0.000030 nan -0.000122 -0.000076 
300 -0.000000 -0.000031 nan -0.000115 -0.000073 
301 -0.000000 -0.000033 nan -0.000091 -0.000062 
302 -0.000000 -0.000033 nan -0.000079 -0.000056 
303 -0.000000 -0.000033 nan -0.000078 -0.000055 
304 -0.000000 -0.000033 nan -0.000037 -0.000035 
305 -0.000000 -0.000032 nan -0.000017 -0.000024 
306 -0.000000 -0.000031 nan 0.000009 -0.000011 
307 -0.000000 -0.000030 nan 0.000017 -0.000006 
308 -0.000000 -0.000029 nan 0.000019 -0.000005 
309 -0.000000 -0.000028 nan 0.000019 -0.000004 
310 -0.000000 -0.000027 nan 0.000018 -0.000004 
311 -0.000000 -0.000026 nan 0.000018 -0.000004 
312 -0.000000 -0.000025 nan 0.000016 -0.000005 
313 -0.000000 -0.000025 nan 0.000014 -0.000005 
314 -0.000000 -0.000024 nan 0.000013 -0.000006 
315 -0.000000 -0.000024 nan 0.000010 -0.000007 
316 -0.000000 -0.000023 nan 0.000002 -0.000011 
317 -0.000000 -0.000023 nan -0.000015 -0.000019 
318 -0.000000 -0.000024 nan -0.000034 -0.000029 
319 -0.000000 -0.000024 nan -0.000061 -0.000042 
320 -0.000000 -0.000025 nan -0.000082 -0.000053 
321 -0.000000 -0.000026 nan -0.000105 -0.000065 
322 -0.000000 -0.000028 nan -0.000128 -0.000078 
323 -0.000000 -0.000030 nan -0.000138 -0.000084 
324 -0.000000 -0.000031 nan -0.000136 -0.000083 
325 -0.000000 -0.000032 nan -0.000131 -0.000082 
326 -0.000000 -0.000034 nan -0.000121 -0.000077 
327 -0.000000 -0.000034 nan -0.000092 -0.000063 
328 -0.000000 -0.000034 nan -0.000052 -0.000043 
329 -0.000000 -0.000033 nan -0.000019 -0.000026 
330 -0.000000 -0.000032 nan 0.000007 -0.000013 
331 -0.000000 -0.000031 nan 0.000020 -0.000005 
332 -0.000000 -0.000029 nan 0.000019 -0.000005 
333 -0.000000 -0.000028 nan 0.000019 -0.000005 
334 -0.000000 -0.000027 nan 0.000018 -0.000005 
335 -0.000000 -0.000027 nan 0.000018 -0.000004 
