#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
670 -0.078893 -0.105112 
671 -0.078797 -0.104890 
672 -0.078706 -0.104687 
673 -0.078603 -0.104385 
674 -0.078439 -0.103812 
675 -0.078093 -0.102437 
676 -0.075520 -0.090485 
677 -0.066802 -0.060413 
678 -0.060133 -0.045327 
679 -0.056471 -0.039573 
680 -0.054098 -0.036516 
681 -0.051838 -0.033640 
682 -0.048809 -0.032044 
683 -0.045098 -0.030571 
684 -0.038995 -0.027678 
685 -0.033556 -0.025456 
686 -0.032461 -0.024667 
687 -0.031927 -0.024294 
688 -0.031863 -0.024823 
689 -0.031721 -0.024911 
690 -0.031522 -0.024812 
691 -0.031397 -0.024912 
692 -0.031411 -0.025347 
693 -0.031484 -0.025826 
694 -0.031552 -0.026236 
695 -0.031663 -0.026714 
696 -0.031754 -0.027081 
697 -0.031838 -0.027401 
698 -0.031931 -0.027730 
699 -0.032019 -0.028023 
700 -0.032103 -0.028286 
701 -0.032185 -0.028533 
702 -0.032265 -0.028759 
703 -0.032327 -0.028919 
704 -0.032371 -0.029024 
705 -0.032434 -0.029192 
706 -0.032515 -0.029393 
707 -0.032607 -0.029615 
708 -0.032705 -0.029842 
709 -0.032793 -0.030043 
710 -0.032876 -0.030226 
711 -0.032956 -0.030400 
712 -0.033135 -0.030570 
713 -0.033445 -0.030744 
714 -0.033699 -0.030891 
715 -0.033905 -0.031009 
716 -0.034105 -0.031121 
717 -0.034301 -0.031230 
718 -0.034492 -0.031334 
719 -0.034679 -0.031435 
720 -0.034872 -0.031538 
721 -0.035076 -0.031646 
722 -0.035277 -0.031750 
723 -0.035475 -0.031852 
724 -0.035675 -0.031952 
725 -0.035891 -0.032057 
726 -0.036133 -0.032172 
727 -0.036407 -0.032300 
728 -0.036722 -0.032439 
729 -0.037024 -0.032559 
730 -0.037266 -0.032645 
731 -0.037407 -0.032673 
732 -0.036922 -0.032214 
733 -0.033833 -0.029832 
734 -0.032222 -0.027176 
735 -0.031346 -0.025335 
736 -0.030835 -0.024661 
737 -0.030693 -0.024862 
738 -0.030546 -0.024809 
739 -0.030235 -0.024329 
740 -0.029830 -0.023601 
741 -0.029248 -0.022567 
742 -0.028892 -0.022283 
743 -0.028777 -0.022490 
