#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
248 298.741667 1.283333 0.704833 0.015000 96766.675000 0.000000 
249 299.766667 1.483333 0.676333 0.015300 96751.191667 0.000000 
250 300.583333 1.775000 0.652917 0.015500 96762.825000 0.000000 
251 301.016667 1.983333 0.638167 0.015500 96742.733333 0.000000 
252 301.325000 2.000000 0.623250 0.015400 96708.533333 0.000000 
253 301.625000 1.816667 0.612833 0.015500 96657.291667 0.000000 
254 301.100000 1.341667 0.619333 0.015200 96672.241667 0.000000 
255 300.683333 1.300000 0.622750 0.014900 96669.966667 0.000000 
256 300.558333 1.116667 0.632167 0.015000 96634.308333 0.000000 
257 299.725000 0.825000 0.728333 0.016500 96610.291667 0.000000 
258 298.091667 1.258333 0.822250 0.016900 96598.408333 0.000000 
259 297.491667 0.200000 0.837333 0.016600 96591.816667 0.000000 
260 296.808333 0.650000 0.859083 0.016300 96562.333333 0.000000 
261 296.200000 0.791667 0.875667 0.016100 96532.200000 0.000000 
262 295.691667 0.708333 0.891667 0.015800 96520.991667 0.000000 
263 295.008333 0.516667 0.913167 0.015600 96498.566667 0.000000 
264 293.483333 1.050000 0.951667 0.014800 96551.416667 0.000000 
265 292.983333 1.100000 0.961417 0.014500 96573.633333 0.000000 
266 292.400000 1.100000 0.973000 0.014100 96562.641667 0.000000 
267 291.433333 1.375000 0.985000 0.013400 96550.041667 0.000000 
268 292.633333 0.941667 0.971333 0.014300 96540.291667 0.000000 
269 294.858333 0.625000 0.917750 0.015500 96546.741667 0.000000 
270 294.958333 1.516667 0.883667 0.015000 96643.008333 0.000000 
271 296.416667 1.233333 0.826000 0.015300 96635.200000 0.000000 
272 297.925000 1.475000 0.760500 0.015400 96636.725000 0.000000 
273 298.508333 2.600000 0.708250 0.014900 96675.500000 0.000000 
274 298.825000 2.883333 0.682000 0.014600 96704.666667 0.000000 
275 299.400000 2.533333 0.645167 0.014300 96669.600000 0.000000 
276 300.275000 2.683333 0.592500 0.013800 96667.116667 0.000000 
277 298.241667 3.525000 0.648500 0.013400 96729.900000 0.000000 
278 297.133333 2.316667 0.718167 0.013900 96761.266667 0.000000 
279 297.141667 1.741667 0.730417 0.014100 96766.350000 0.000000 
280 296.783333 1.883333 0.731000 0.013800 96810.508333 0.000000 
281 295.741667 1.075000 0.776833 0.013800 96843.833333 0.000000 
282 295.191667 1.275000 0.782833 0.013400 96855.208333 0.000000 
283 294.050000 0.750000 0.854500 0.013700 96929.608333 0.000000 
284 293.858333 0.333333 0.844500 0.013300 96967.283333 0.000000 
285 293.391667 0.575000 0.866833 0.013300 96979.908333 0.000000 
286 292.250000 0.875000 0.910250 0.013000 96947.616667 0.000000 
287 291.050000 1.175000 0.947000 0.012600 96890.700000 0.000000 
288 290.308333 1.291667 0.962833 0.012200 96851.516667 0.000000 
289 290.066667 1.208333 0.966750 0.012100 96816.775000 0.000000 
290 289.958333 1.108333 0.967000 0.012000 96791.808333 0.000000 
291 290.500000 0.825000 0.958750 0.012300 96805.841667 0.000000 
292 290.825000 0.708333 0.957083 0.012500 96804.733333 0.000000 
293 292.683333 0.700000 0.899250 0.013200 96786.166667 0.000000 
294 293.583333 0.241667 0.876583 0.013600 96818.325000 0.000000 
295 294.383333 0.475000 0.847500 0.013800 96836.525000 0.000000 
296 295.366667 0.866667 0.813833 0.014100 96834.966667 0.000000 
297 296.183333 0.716667 0.782583 0.014300 96824.525000 0.000000 
298 297.533333 0.516667 0.730500 0.014400 96828.733333 0.000000 
299 298.291667 0.958333 0.704000 0.014600 96783.641667 0.000000 
300 297.891667 2.283333 0.710250 0.014400 96785.733333 0.000000 
301 296.750000 1.941667 0.749500 0.014100 96820.491667 0.000000 
302 297.108333 1.258333 0.747500 0.014400 96791.516667 0.000000 
303 296.783333 1.841667 0.758000 0.014300 96821.416667 0.000000 
304 295.925000 1.533333 0.806667 0.014500 96847.500000 0.000000 
305 294.566667 1.408333 0.848583 0.014000 96910.100000 0.000000 
306 294.633333 1.033333 0.874000 0.014500 96914.316667 0.000000 
307 293.733333 0.725000 0.939250 0.014700 96951.416667 0.000000 
308 293.650000 0.241667 0.923000 0.014400 96979.000000 0.000000 
309 292.733333 0.750000 0.949417 0.014000 96996.508333 0.000000 
310 292.650000 0.800000 0.957500 0.014000 96992.583333 0.000000 
311 291.916667 0.800000 0.980917 0.013700 96967.900000 0.000000 
312 291.850000 0.708333 0.987583 0.013800 96956.716667 0.000000 
313 291.666667 0.516667 0.993500 0.013700 96931.333333 0.000000 
314 291.191667 0.408333 0.994000 0.013300 96939.183333 0.000000 
315 291.058333 0.308333 0.994000 0.013200 96964.666667 0.000000 
316 291.141667 0.208333 0.994000 0.013300 96990.733333 0.000000 
317 292.158333 0.200000 0.983917 0.014000 97031.308333 0.000000 
318 293.166667 0.383333 0.912417 0.013800 97037.733333 0.000000 
319 294.900000 0.400000 0.828083 0.013900 97044.783333 0.000000 
